,city,lat,long,Country,date,temperature,humidity,cloudiness,wind speed
271,Poyarkovo,49.6,128.6833,RU,1645501302,5.7,82,82,9.57
272,Brae,60.3964,-1.353,GB,1645501303,40.91,60,100,29.08
273,Airai,-8.9266,125.4092,TL,1645501303,62.67,92,100,2.95
274,Lovozero,68.005,35.0117,RU,1645501303,2.46,100,100,3.24
275,Rawson,-43.3002,-65.1023,AR,1645501304,55.06,59,87,7.16
276,Dolisie,-4.1997,12.6739,CG,1645501304,70.61,97,99,1.21
277,Ust'-Kulom,61.6864,53.6902,RU,1645501305,12.52,98,95,3.51
278,Peterhead,57.5058,-1.7981,GB,1645501305,40.98,87,100,30.74
279,Chokurdakh,70.6333,147.9167,RU,1645500571,-36.0,97,79,6.11
280,Durango,24.8333,-104.8333,MX,1645501122,51.78,60,0,8.79
281,Hluti,-27.2167,31.6167,SZ,1645501306,69.06,96,91,2.13
282,Nioro,13.35,-15.75,GM,1645501306,72.95,33,43,4.94
283,Akdepe,42.0551,59.3788,TM,1645501307,33.89,46,70,5.14
284,Porto Murtinho,-21.6989,-57.8825,BR,1645501307,80.01,70,4,6.04
285,Harper,4.375,-7.7169,LR,1645501307,78.55,88,100,8.9
286,Taltal,-25.4,-70.4833,CL,1645501308,68.67,76,0,3.51
287,Emirdağ,39.0197,31.15,TR,1645501308,41.81,91,100,5.39
288,Hithadhoo,-0.6,73.0833,MV,1645501309,82.76,71,100,8.32
289,Bonthe,7.5264,-12.505,SL,1645501309,74.41,83,100,3.74
290,Inhambane,-23.865,35.3833,MZ,1645501309,78.94,69,90,11.48
291,Basco,20.4487,121.9702,PH,1645501310,72.72,84,100,24.79
292,Doiceşti,44.9833,25.4,RO,1645501310,44.6,99,82,5.32
293,Katangli,51.7102,143.2326,RU,1645501311,5.27,73,98,21.36
294,Iralaya,15.0,-83.2333,HN,1645501311,76.66,81,100,9.86
295,Marevo,57.3146,32.0804,RU,1645501311,32.05,91,76,10.96
296,Tārūt,26.5733,50.0369,SA,1645501312,54.48,54,5,13.2
297,Gizo Government Station,-8.103,156.8419,SB,1645501312,84.87,69,100,4.54
298,Northam,51.0333,-4.2167,GB,1645501312,50.32,97,99,19.93
299,Salalah,17.0151,54.0924,OM,1645501313,69.89,73,0,3.44
300,Horsham,51.064,-0.3272,GB,1645501017,43.63,85,75,6.91
301,Les Cayes,18.2,-73.75,HT,1645501313,73.08,82,0,4.27
302,Yabēlo,4.8833,38.0833,ET,1645501314,66.58,49,100,4.5
303,Mogadishu,2.0371,45.3438,SO,1645501314,76.87,83,40,10.36
304,Pangnirtung,66.1451,-65.7125,CA,1645501315,-27.63,96,99,1.39
305,Torbay,47.6666,-52.7314,CA,1645501315,34.88,83,20,27.63
306,Bandarbeyla,9.4942,50.8122,SO,1645501315,76.8,77,44,15.19
307,Nekā,36.6508,53.299,IR,1645501316,38.71,100,99,4.61
308,Ghanzi,-21.5667,21.7833,BW,1645501316,73.27,37,71,9.57
309,Port Hardy,50.6996,-127.4199,CA,1645501317,37.58,35,0,19.57
310,Lubao,14.9167,120.55,PH,1645501317,84.13,60,99,17.34
311,Dicabisagan,17.0818,122.4157,PH,1645501317,75.61,91,100,7.45
312,Caravelas,-17.7125,-39.2481,BR,1645501318,74.26,91,2,1.72
313,Aksu,41.1231,80.2644,CN,1645501318,33.17,36,0,0.72
314,Vestmanna,62.1564,-7.1664,FO,1645501319,36.52,93,100,24.16
315,Camapuã,-19.5314,-54.0439,BR,1645501319,70.81,94,0,2.68
316,Bathsheba,13.2167,-59.5167,BB,1645501319,77.61,78,40,16.11
317,Tefé,-3.3542,-64.7114,BR,1645501320,73.31,97,65,1.52
318,Kroya,-7.6331,109.2461,ID,1645501320,84.56,69,75,5.35
319,Flinders,-34.5833,150.8552,AU,1645501321,67.33,91,100,9.86
320,Mae Hong Son,19.3003,97.9685,TH,1645501321,77.14,65,20,4.61
321,Los Llanos de Aridane,28.6585,-17.9182,ES,1645501321,54.12,78,0,8.05
322,San Patricio,28.017,-97.5169,US,1645501322,69.08,89,0,21.88
323,Maba,24.6841,113.5984,CN,1645501322,40.28,97,100,3.6
324,Monroe,43.1501,-77.6831,US,1645500979,32.43,86,75,9.22
325,Kasempa,-13.4584,25.8338,ZM,1645501323,61.09,98,97,3.56
326,Seryshevo,51.0933,128.3786,RU,1645501323,9.57,74,43,10.18
327,Mayo,38.8876,-76.5119,US,1645501324,46.44,86,0,8.05
328,Tura,25.5198,90.2201,IN,1645501324,72.27,34,0,1.88
329,Camacha,33.0833,-16.3333,PT,1645501324,58.42,72,40,14.97
330,Havre-St-Pierre,50.2334,-63.5986,CA,1645501325,0.59,46,0,17.27
331,Netivot,31.4222,34.5886,IL,1645501329,47.64,72,7,2.82
332,Comodoro Rivadavia,-45.8667,-67.5,AR,1645501329,46.26,81,0,2.3
